,id,source,url
205,205,mySA,http://www.mysanantonio.com/news/texas/article/What-hurricanes-don-t-teach-us-AP-finds-fast-12202754.php
206,206,The Kansas City Star,http://www.kansascity.com/news/nation-world/article173799046.html
207,207,Star Tribune,http://www.startribune.com/what-hurricanes-don-t-teach-us-ap-finds-fast-coastal-growth/444848483/
208,208,The Kansas City Star,http://www.kansascity.com/news/business/national-international/article173700696.html
209,209,WFTV,http://www.wftv.com/news/florida/what-hurricanes-dont-teach-us-ap-finds-fast-coastal-growth/610299985
210,210,The Denver Post,http://www.denverpost.com/2017/09/16/us-coastal-population-growth/
211,211,Portland Press Herald,http://www.pressherald.com/2017/09/16/u-s-population-grows-along-coasts-despite-storm-threat/
212,212,Daily Herald,http://www.dailyherald.com/article/20170916/news/309169966
213,213,WRAL.com,http://www.wral.com/what-hurricanes-don-t-teach-us-ap-finds-fast-coastal-growth/16952667/
214,214,WSOC,http://www.wsoctv.com/news/south-carolina/what-hurricanes-dont-teach-us-ap-finds-fast-coastal-growth/610298959
215,215,Fox Business,http://www.foxbusiness.com/markets/2017/09/16/us-coastal-growth-continues-despite-lessons-past-storms.html
216,216,Miami Herald,http://www.miamiherald.com/news/article173700696.html
217,217,Miami Herald,http://www.miamiherald.com/news/nation-world/article173799046.html
218,218,Central Maine,http://www.centralmaine.com/2017/09/16/u-s-population-grows-along-coasts-despite-storm-threat/
219,219,WVVA TV,http://www.wvva.com/story/36382595/us-coastal-growth-continues-despite-lessons-of-past-storms
